category,servings,preparation_age_minutes,pickup_window_minutes,packaging_score,priority
Cooked Meal,163,84,381,5,Medium
Fruits,29,384,127,1,Medium
Packaged Food,128,230,387,1,Medium
Bakery,240,352,420,5,Medium
Snacks,234,117,282,5,Medium
Packaged Food,56,269,349,2,Medium
Fruits,58,415,342,5,Medium
Packaged Food,183,8,486,5,Low
Vegetables,191,401,306,1,High
Cooked Meal,109,324,555,5,Medium
Fruits,116,291,377,5,Medium
Bakery,221,306,553,2,High
Fruits,54,141,688,2,Medium
Snacks,130,260,62,4,High
Vegetables,30,102,279,2,Medium
Dairy,164,244,177,5,High
Packaged Food,247,122,172,4,Medium
Cooked Meal,159,373,216,4,High
Fruits,30,210,191,4,Medium
Snacks,239,407,113,4,Medium
Snacks,142,402,68,5,High
Packaged Food,84,79,117,4,Medium
Packaged Food,249,330,155,4,Medium
Bakery,144,444,312,5,Medium
Cooked Meal,50,459,215,5,Medium
Packaged Food,128,166,600,5,Medium
Snacks,40,360,678,5,Low
Vegetables,112,361,523,1,High
Bakery,234,418,268,5,Medium
Cooked Meal,18,141,613,4,Medium
Dairy,30,194,146,4,Medium
Cooked Meal,94,140,110,5,Medium
Cooked Meal,173,262,471,4,Medium
Fruits,126,105,232,1,High
Vegetables,106,48,356,5,Medium
Bakery,135,355,65,5,High
Fruits,243,380,64,5,High
Packaged Food,187,407,500,5,Medium
Fruits,219,230,412,4,Medium
Bakery,117,151,208,5,Medium
Vegetables,39,390,720,4,Medium
Snacks,54,327,491,1,Medium
Vegetables,121,177,368,4,Medium
Vegetables,161,277,714,5,Medium
Dairy,182,144,304,4,Medium
Cooked Meal,101,253,263,4,Medium
Packaged Food,65,312,402,5,Medium
Bakery,170,469,76,5,High
Fruits,107,12,610,5,Medium
Snacks,248,251,569,5,Medium
Fruits,126,459,166,4,Medium
Dairy,108,315,113,1,High
Bakery,36,218,707,1,Medium
Packaged Food,214,70,507,4,Medium
Bakery,217,106,579,4,Medium
Snacks,209,286,487,5,Medium
Packaged Food,150,178,703,5,Medium
Snacks,206,386,241,5,Medium
Vegetables,46,325,710,4,Medium
Dairy,59,389,255,4,Medium
Snacks,155,87,130,4,Medium
Cooked Meal,79,267,588,4,Medium
Packaged Food,93,302,328,5,Medium
Bakery,250,174,613,2,Medium
Cooked Meal,158,80,364,1,High
Dairy,235,434,472,4,Medium
Snacks,156,331,125,4,Medium
Dairy,230,94,394,5,Medium
Snacks,172,135,231,1,Medium
Packaged Food,71,284,494,5,Medium
Fruits,243,197,435,5,Medium
Dairy,39,17,412,4,Low
Dairy,102,219,639,5,Medium
Vegetables,245,27,53,2,High
Dairy,59,452,553,1,High
Packaged Food,120,407,452,5,Medium
Dairy,37,297,121,5,Medium
Bakery,102,277,288,5,Medium
Snacks,218,306,335,4,Medium
Snacks,95,305,546,5,Medium
Vegetables,138,76,438,4,Medium
Fruits,218,445,101,1,High
Cooked Meal,120,226,486,4,Medium
Fruits,138,240,395,4,Medium
Fruits,163,38,324,5,Medium
Snacks,142,156,608,2,Medium
Cooked Meal,27,260,323,5,Medium
Cooked Meal,141,15,403,5,Medium
Packaged Food,15,208,59,5,Medium
Vegetables,31,22,695,2,Medium
Snacks,18,239,59,1,High
Dairy,43,233,159,5,Medium
Dairy,110,118,244,2,High
Packaged Food,124,346,484,5,Medium
Vegetables,188,46,53,1,High
Cooked Meal,126,429,254,1,High
Bakery,113,459,606,5,Medium
Vegetables,137,312,437,1,High
Vegetables,166,176,322,5,Medium
Vegetables,72,31,529,5,Low
Vegetables,124,388,189,1,High
Cooked Meal,137,455,473,4,Medium
Bakery,10,402,351,5,Medium
Fruits,24,330,366,2,Medium
Fruits,56,340,112,1,High
Fruits,82,185,510,4,Medium
Bakery,99,367,63,5,High
Fruits,225,119,716,5,Medium
Dairy,233,314,33,5,High
Dairy,235,154,666,5,Medium
Vegetables,72,262,341,5,Medium
Vegetables,215,167,344,4,Medium
Dairy,66,89,59,4,High
Packaged Food,86,17,360,2,Medium
Snacks,95,51,690,4,Low
Bakery,28,307,354,4,Medium
Dairy,71,60,387,5,Medium
Fruits,195,164,682,5,Medium
Packaged Food,194,400,316,2,Medium
Fruits,200,86,136,5,Medium
Vegetables,195,276,698,5,Medium
Packaged Food,209,398,404,1,Medium
Vegetables,134,202,433,4,Medium
Cooked Meal,85,269,559,2,High
Vegetables,69,423,163,2,High
Cooked Meal,189,178,278,2,High
Fruits,98,94,710,4,Medium
Snacks,249,68,482,5,Medium
Bakery,70,386,261,4,Medium
Bakery,45,462,510,4,Medium
Vegetables,144,381,534,5,Medium
Snacks,230,241,376,2,Medium
Cooked Meal,100,38,540,5,Medium
Dairy,74,195,583,5,Medium
Vegetables,116,176,538,2,Medium
Packaged Food,65,268,425,4,Medium
Vegetables,213,73,497,2,Medium
Bakery,121,167,460,5,Medium
Vegetables,245,241,695,1,High
Vegetables,156,77,363,5,Medium
Vegetables,42,154,84,1,High
Vegetables,201,8,589,1,Medium
Cooked Meal,161,387,202,2,High
Vegetables,247,331,355,1,High
Bakery,88,454,523,4,Medium
Dairy,182,422,437,5,Medium
Bakery,168,81,182,1,High
Packaged Food,218,459,628,4,Medium
Vegetables,231,281,164,5,Medium
Snacks,201,98,166,5,Medium
Fruits,175,392,375,1,High
Dairy,146,374,706,4,Medium
Dairy,87,161,644,1,Medium
Vegetables,240,332,478,5,Medium
Bakery,146,193,221,5,Medium
Fruits,70,419,474,5,Medium
Bakery,81,8,388,5,Low
Vegetables,226,405,494,2,High
Fruits,115,17,573,5,Medium
Snacks,84,45,657,4,Low
Fruits,240,67,131,4,Medium
Bakery,183,411,650,2,High
Dairy,165,83,682,1,High
Packaged Food,46,348,703,4,Low
Bakery,195,81,366,4,Medium
Packaged Food,203,19,300,5,Low
Snacks,66,318,134,1,Medium
Vegetables,38,44,355,5,Low
Vegetables,22,462,597,4,Medium
Fruits,200,12,522,5,Medium
Packaged Food,173,367,146,1,High
Cooked Meal,138,375,83,4,High
Packaged Food,157,358,321,1,Medium
Fruits,155,470,123,4,Medium
Dairy,89,26,579,2,Medium
Cooked Meal,167,248,502,5,Medium
Vegetables,233,263,568,1,High
Dairy,50,255,128,4,Medium
Vegetables,103,470,378,4,Medium
Snacks,210,52,338,5,Low
Cooked Meal,120,293,388,4,Medium
Bakery,109,365,534,4,Medium
Cooked Meal,49,426,274,2,Medium
Packaged Food,223,284,520,5,Medium
Bakery,71,388,594,4,Medium
Snacks,49,207,651,4,Low
Cooked Meal,117,176,470,5,Medium
Cooked Meal,223,234,377,4,Medium
Bakery,207,106,648,4,Medium
Vegetables,188,39,591,4,Medium
Packaged Food,117,329,417,4,Medium
Cooked Meal,142,471,298,5,Medium
Dairy,33,89,38,5,Medium
Packaged Food,36,267,39,5,Medium
Snacks,125,268,466,4,Medium
Dairy,232,438,311,4,Medium
Packaged Food,174,436,678,1,Medium
Fruits,183,442,315,5,Medium
Packaged Food,206,218,146,5,Medium
Vegetables,180,94,690,4,Medium
Dairy,95,301,372,5,Medium
Bakery,155,126,482,4,Medium
Dairy,197,208,277,2,High
Fruits,114,62,535,4,Medium
Bakery,138,205,287,5,Medium
Packaged Food,237,90,622,2,Medium
Bakery,88,327,663,5,Medium
Dairy,249,14,290,5,Medium
Vegetables,146,243,53,5,High
Cooked Meal,151,181,527,4,Medium
Vegetables,211,253,565,5,Medium
Snacks,21,347,121,5,Medium
Snacks,192,143,453,4,Medium
Bakery,130,295,234,5,Medium
Cooked Meal,209,393,285,5,Medium
Dairy,243,322,38,2,High
Snacks,248,415,529,4,Medium
Fruits,59,16,313,4,Low
Cooked Meal,171,301,288,5,Medium
Dairy,93,32,216,5,Medium
Vegetables,190,425,216,2,High
Packaged Food,192,40,512,4,Low
Fruits,202,312,384,5,Medium
Vegetables,100,302,163,5,Medium
Bakery,136,289,204,2,High
Vegetables,69,55,342,4,Low
Fruits,17,423,544,1,Medium
Bakery,105,286,116,1,High
Dairy,36,107,137,4,Medium
Cooked Meal,23,237,460,5,Medium
Cooked Meal,214,111,510,5,Medium
Cooked Meal,223,88,417,1,High
Snacks,177,70,99,2,Medium
Dairy,92,338,568,4,Medium
Cooked Meal,151,333,419,1,High
Fruits,166,318,226,4,Medium
Snacks,207,146,494,4,Medium
Vegetables,28,288,214,5,Medium
Bakery,194,442,567,5,Medium
Snacks,127,324,700,5,Medium
Bakery,192,76,492,5,Medium
Bakery,56,268,461,5,Medium
Cooked Meal,136,249,227,5,High
Cooked Meal,89,362,426,4,Medium
Cooked Meal,27,412,243,2,Medium
Vegetables,39,401,158,5,Medium
Dairy,33,9,370,5,Low
Snacks,78,257,612,5,Medium
Cooked Meal,152,442,657,5,Medium
Snacks,76,345,673,4,Medium
Cooked Meal,250,63,242,2,High
Dairy,157,333,235,4,High
Packaged Food,141,392,447,5,Medium
Vegetables,228,213,426,4,Medium
Snacks,138,432,413,4,Medium
Packaged Food,184,372,399,5,Medium
Packaged Food,189,205,688,2,Medium
Packaged Food,147,305,335,5,Medium
Vegetables,161,439,313,2,High
Dairy,107,260,432,4,Medium
Dairy,115,174,557,5,Medium
Snacks,224,435,284,2,Medium
Bakery,182,124,661,2,Medium
Dairy,182,300,406,4,Medium
Packaged Food,144,97,571,1,Medium
Fruits,199,129,566,5,Medium
Dairy,183,425,185,4,High
Snacks,215,142,263,1,Medium
Packaged Food,42,125,61,2,Medium
Dairy,137,89,357,5,Medium
Packaged Food,228,107,240,5,Medium
Cooked Meal,150,159,172,5,Medium
Fruits,218,58,476,1,Medium
Snacks,97,120,104,1,Medium
Vegetables,209,426,518,5,Medium
Cooked Meal,126,221,512,1,High
Snacks,231,357,662,5,Medium
Cooked Meal,158,41,418,5,Medium
Fruits,62,406,132,5,Medium
Packaged Food,26,296,48,5,Medium
Bakery,54,408,414,4,Medium
Bakery,93,323,556,4,Medium
Bakery,168,370,213,1,High
Cooked Meal,130,101,575,5,Medium
Fruits,156,351,102,5,Medium
Vegetables,58,71,444,2,Medium
Bakery,49,263,287,4,Medium
Dairy,40,302,69,5,High
Dairy,58,235,295,4,Medium
Dairy,137,303,336,2,High
Fruits,24,281,424,5,Medium
Cooked Meal,220,397,511,4,Medium
Dairy,140,165,44,5,High
Fruits,247,373,670,5,Medium
Fruits,96,308,36,2,High
Fruits,78,116,41,1,High
Packaged Food,202,114,103,5,Medium
Bakery,167,54,580,5,Medium
Packaged Food,171,373,327,5,Medium
Snacks,156,105,205,5,Medium
Cooked Meal,14,277,587,2,Medium
Cooked Meal,51,248,113,5,Medium
Bakery,46,220,174,4,Medium
Dairy,13,59,279,1,Medium
Fruits,121,200,336,4,Medium
Packaged Food,76,455,561,5,Medium
Snacks,19,28,512,4,Low
Snacks,134,266,350,5,Medium
Cooked Meal,151,288,530,2,High
Snacks,55,44,213,2,Medium
Snacks,162,174,338,2,Medium
Snacks,173,118,507,2,Medium
Vegetables,244,397,711,4,Medium
Cooked Meal,77,192,31,4,High
Cooked Meal,174,202,676,5,Medium
Bakery,67,345,70,5,High
Packaged Food,64,100,336,4,Low
Fruits,180,22,611,1,Medium
Bakery,134,452,420,5,Medium
Snacks,144,28,145,2,Medium
Dairy,246,54,551,5,Medium
Dairy,246,358,392,4,Medium
Snacks,133,56,603,4,Low
Bakery,207,120,358,5,Medium
Fruits,212,327,712,5,Medium
Packaged Food,169,260,533,4,Medium
Bakery,179,361,534,5,Medium
Bakery,208,339,568,4,Medium
Cooked Meal,236,333,138,1,High
Snacks,170,115,221,5,Medium
Packaged Food,223,433,77,5,High
Vegetables,159,305,135,5,Medium
Fruits,135,369,576,1,High
Vegetables,180,137,219,1,High
Vegetables,17,216,598,2,Medium
Dairy,26,410,187,5,Medium
Dairy,39,403,48,4,High
Fruits,171,440,261,5,Medium
Cooked Meal,25,229,220,4,Medium
Bakery,100,112,249,5,Medium
Dairy,190,385,263,5,Medium
Fruits,122,263,260,5,Medium
Cooked Meal,17,437,711,4,Medium
Cooked Meal,196,171,601,4,Medium
Bakery,181,61,613,5,Medium
Snacks,166,146,256,5,Medium
Bakery,203,185,191,1,High
Dairy,128,356,685,5,Medium
Bakery,162,423,158,5,Medium
Dairy,190,164,696,4,Medium
Dairy,125,378,707,4,Medium
Snacks,85,249,52,5,Medium
Packaged Food,161,26,592,5,Low
Fruits,138,480,537,1,High
Snacks,145,459,50,5,High
Snacks,179,118,246,5,Medium
Fruits,90,125,578,1,Medium
Packaged Food,215,230,142,1,High
Vegetables,203,344,366,1,High
Fruits,99,372,695,4,Medium
Vegetables,111,445,589,5,Medium
Cooked Meal,13,378,690,1,Medium
Cooked Meal,142,67,62,4,High
Bakery,29,163,180,5,Medium
Fruits,137,11,341,2,Medium
Cooked Meal,186,364,222,5,High
Fruits,46,374,341,5,Medium
Packaged Food,166,68,129,4,Medium
Bakery,63,157,258,5,Medium
Bakery,166,405,467,5,Medium
Packaged Food,96,346,417,4,Medium
Bakery,28,139,33,2,High
Packaged Food,63,357,569,4,Medium
Bakery,187,263,295,4,Medium
Fruits,207,124,149,5,Medium
Bakery,242,319,570,5,Medium
Cooked Meal,107,184,515,1,High
Fruits,18,201,693,5,Medium
Fruits,174,237,66,4,High
Vegetables,146,175,663,4,Medium
Vegetables,116,235,636,1,High
Vegetables,205,418,343,5,Medium
Snacks,75,382,378,1,Medium
Packaged Food,57,442,556,5,Medium
Dairy,157,306,618,4,Medium
Packaged Food,39,305,676,1,Medium
Snacks,105,229,624,5,Medium
Packaged Food,165,38,203,4,Medium
Packaged Food,94,432,675,5,Medium
Packaged Food,75,265,557,5,Medium
Bakery,194,383,175,2,High
Cooked Meal,188,27,469,4,Medium
Cooked Meal,158,303,375,5,Medium
Cooked Meal,200,134,347,5,Medium
Fruits,23,392,272,4,Medium
Packaged Food,129,175,584,4,Medium
Cooked Meal,87,302,387,4,Medium
Vegetables,70,375,408,1,Medium
Fruits,74,456,702,1,Medium
Snacks,191,461,243,5,Medium
Cooked Meal,43,430,506,5,Medium
Packaged Food,180,181,641,2,Medium
Vegetables,109,138,66,5,High
Dairy,166,73,294,4,Medium
Fruits,212,383,692,5,Medium
Cooked Meal,86,51,220,2,Medium
Cooked Meal,30,117,569,5,Medium
Snacks,240,416,561,5,Medium
Snacks,165,467,283,4,Medium
Vegetables,154,143,286,5,Medium
Fruits,228,8,381,5,Medium
Vegetables,196,273,660,2,High
Bakery,219,190,547,5,Medium
Dairy,137,148,463,5,Medium
Fruits,198,396,644,5,Medium
Cooked Meal,244,248,43,5,High
Fruits,45,372,661,2,Medium
Fruits,111,64,717,1,Medium
Bakery,171,182,114,2,High
Cooked Meal,228,158,49,4,High
Packaged Food,31,68,221,4,Low
Bakery,44,164,212,4,Medium
Packaged Food,183,250,362,2,Medium
Bakery,158,15,232,4,Medium
Fruits,232,340,206,4,Medium
Bakery,205,154,658,1,Medium
Bakery,74,243,623,5,Medium
Fruits,217,247,562,4,Medium
Vegetables,33,83,197,2,Medium
Snacks,194,113,693,1,Medium
Cooked Meal,19,154,327,5,Medium
Bakery,143,217,601,4,Medium
Dairy,193,173,128,5,Medium
Packaged Food,193,380,392,4,Medium
Dairy,246,465,466,5,Medium
Fruits,77,400,234,5,Medium
Packaged Food,168,134,501,5,Medium
Bakery,121,108,544,2,Medium
Cooked Meal,115,161,90,5,High
Cooked Meal,157,438,72,4,High
Dairy,148,175,124,5,Medium
Snacks,195,364,352,2,Medium
Vegetables,55,428,231,5,Medium
Fruits,36,461,483,5,Medium
Fruits,135,308,347,4,Medium
Bakery,133,224,709,2,High
Vegetables,54,425,185,5,Medium
Dairy,80,239,424,4,Medium
Fruits,201,321,378,1,High
Snacks,44,11,510,5,Low
Bakery,95,184,565,1,Medium
Vegetables,168,59,526,2,Medium
Packaged Food,56,360,181,4,Medium
Bakery,64,54,318,5,Low
Fruits,233,90,514,2,Medium
Vegetables,202,262,313,4,Medium
Packaged Food,211,375,102,5,Medium
Snacks,140,267,410,4,Medium
Vegetables,139,321,162,1,High
Vegetables,87,258,250,5,Medium
Packaged Food,214,280,498,1,Medium
Vegetables,120,123,330,5,Medium
Fruits,45,257,234,4,Medium
Snacks,55,167,438,2,Medium
Snacks,187,385,486,5,Medium
Fruits,18,235,693,1,Medium
Bakery,131,422,512,5,Medium
Vegetables,93,347,319,4,Medium
Packaged Food,155,299,421,5,Medium
Vegetables,198,258,423,2,High
Snacks,74,18,264,5,Low
Bakery,32,152,449,4,Low
Vegetables,14,102,718,1,Medium
Cooked Meal,192,457,490,5,Medium
Cooked Meal,49,388,252,2,Medium
Bakery,54,181,460,5,Medium
Bakery,35,474,310,4,Medium
Bakery,121,75,620,1,Medium
Cooked Meal,94,325,379,5,Medium
Fruits,161,146,643,1,Medium
Bakery,249,434,461,1,High
Bakery,137,135,606,4,Medium
Packaged Food,245,476,479,4,Medium
Fruits,165,218,679,2,High
Packaged Food,167,196,472,4,Medium
Bakery,235,397,600,1,High
Vegetables,140,111,77,1,High
Fruits,189,119,577,1,Medium
Cooked Meal,31,311,157,5,Medium
Dairy,52,43,271,4,Medium
Packaged Food,35,372,630,2,Medium
Packaged Food,28,76,649,1,Medium
Vegetables,74,402,186,4,Medium
Snacks,128,135,204,5,Medium
Bakery,240,301,393,5,Medium
Dairy,157,164,422,5,Medium
Fruits,53,417,72,4,High
Packaged Food,67,102,151,5,Medium
Dairy,133,193,357,1,High
Dairy,16,101,403,5,Medium
Packaged Food,225,328,661,4,Medium
Cooked Meal,207,56,195,4,Medium
Snacks,58,418,397,5,Medium
Fruits,33,468,491,4,Medium
Cooked Meal,201,459,700,5,Medium
Snacks,82,304,292,5,Medium
Vegetables,174,319,702,4,Medium
Packaged Food,23,313,239,5,Medium
Packaged Food,36,445,606,4,Low
Fruits,92,462,295,4,Medium
Vegetables,120,111,185,4,Medium
Dairy,199,162,469,4,Medium
Fruits,35,119,624,5,Low
Vegetables,38,455,418,2,Medium
Cooked Meal,120,208,652,5,Medium
Cooked Meal,76,271,674,5,Medium
Fruits,182,246,699,5,Medium
Bakery,125,86,627,5,Medium
Bakery,86,192,259,5,Medium
Vegetables,156,271,422,4,Medium
Vegetables,12,65,610,5,Low
Snacks,219,266,391,4,Medium
Dairy,236,153,568,1,High
Snacks,229,443,325,1,Medium
Snacks,114,454,118,4,Medium
Fruits,59,411,38,1,High
Fruits,46,15,61,5,Medium
Packaged Food,118,193,87,5,High
Dairy,100,320,120,1,High
Fruits,134,240,483,2,High
Dairy,25,109,443,4,Medium
Fruits,194,373,356,5,Medium
Packaged Food,15,269,448,2,Medium
Cooked Meal,239,464,192,4,High
Packaged Food,77,67,82,5,Medium
Fruits,232,465,505,5,Medium
Dairy,143,296,164,5,High
Packaged Food,168,432,183,5,Medium
Snacks,223,41,351,5,Low
Dairy,170,6,442,4,Medium
Cooked Meal,104,395,450,1,High
Snacks,187,345,324,2,Medium
Fruits,128,408,118,5,Medium
Snacks,229,312,545,4,Medium
Fruits,193,114,720,5,Medium
Vegetables,229,475,30,4,High
Bakery,65,251,574,2,Medium
Packaged Food,181,248,526,4,Medium
Dairy,96,189,720,5,Medium
Bakery,241,136,152,2,High
Fruits,40,415,395,4,Medium
Fruits,183,337,93,4,Medium
Fruits,74,93,61,1,High
Snacks,139,120,239,5,Medium
Bakery,78,175,84,1,High
Snacks,96,446,664,5,Medium
Fruits,29,274,385,5,Medium
Fruits,31,18,469,5,Low
Vegetables,183,378,402,4,Medium
Bakery,21,470,333,5,Medium
Dairy,98,172,501,5,Medium
Fruits,129,259,653,4,Medium
Bakery,150,101,186,1,High
Packaged Food,212,59,393,5,Low
Dairy,228,396,118,2,High
Vegetables,125,413,334,1,High
Vegetables,183,359,539,2,High
Snacks,141,440,249,4,Medium
Dairy,227,121,79,5,High
Vegetables,229,402,124,4,Medium
Dairy,67,364,517,5,Medium
Fruits,238,472,550,5,Medium
Snacks,168,309,297,5,Medium
Snacks,130,281,674,2,Medium
Dairy,73,274,80,5,High
Snacks,231,200,465,5,Medium
Dairy,162,153,124,5,Medium
Fruits,221,329,117,4,Medium
Bakery,81,384,400,1,Medium
Bakery,100,361,508,4,Medium
Fruits,37,427,239,4,Medium
Vegetables,55,209,500,4,Medium
Dairy,186,204,713,5,Medium
Dairy,182,70,648,4,Medium
Bakery,103,423,543,5,Medium
Fruits,107,96,687,2,Medium
Vegetables,244,75,500,4,Medium
Snacks,207,357,236,5,Medium
Cooked Meal,168,226,444,1,High
Cooked Meal,76,133,342,2,Medium
Snacks,132,415,245,1,Medium
Cooked Meal,217,257,616,4,Medium
Cooked Meal,193,191,111,1,High
Bakery,140,231,513,1,High
Dairy,167,299,291,4,Medium
Cooked Meal,238,407,451,5,Medium
Dairy,93,88,649,4,Medium
Bakery,122,426,457,4,Medium
Bakery,180,441,87,5,High
Vegetables,106,68,315,5,Medium
Bakery,224,416,123,5,Medium
Packaged Food,206,69,355,1,Medium
Fruits,118,63,177,5,Medium
Snacks,196,233,242,2,Medium
Cooked Meal,189,7,330,2,Medium
Fruits,124,385,147,1,High
Snacks,12,86,377,1,Medium
Packaged Food,55,222,541,4,Medium
Fruits,94,165,114,4,Medium
Fruits,125,77,154,4,Medium
Packaged Food,173,391,64,1,High
Fruits,13,333,283,5,Medium
Packaged Food,132,344,295,5,Medium
Packaged Food,50,291,553,4,Medium
Cooked Meal,226,92,604,1,High
Snacks,161,176,354,2,Medium
Packaged Food,102,467,515,4,Medium
Snacks,15,427,204,5,Medium
Fruits,108,334,674,5,Medium
Bakery,97,197,128,2,High
Vegetables,67,328,93,2,High
Snacks,98,443,692,5,Medium
Fruits,199,15,614,5,Medium
Snacks,196,324,674,5,Medium
Bakery,199,66,205,5,Medium
Vegetables,18,220,399,5,Medium
Fruits,110,436,658,2,High
Fruits,109,185,290,4,Medium
Dairy,49,228,345,2,Medium
Dairy,13,412,637,1,Medium
Packaged Food,142,277,329,1,Medium
Fruits,167,453,676,5,Medium
Fruits,192,228,551,4,Medium
Dairy,146,146,666,2,High
Packaged Food,111,195,370,5,Medium
Packaged Food,111,274,644,2,Medium
Bakery,193,465,562,1,High
Packaged Food,76,232,288,1,Medium
Dairy,93,195,648,4,Medium
Vegetables,67,145,329,5,Medium
Fruits,190,111,33,5,High
Packaged Food,103,392,287,4,Medium
Fruits,104,287,601,5,Medium
Bakery,111,128,461,5,Medium
Packaged Food,86,140,690,5,Low
Bakery,198,456,396,5,Medium
Packaged Food,27,216,261,5,Low
Fruits,46,275,631,4,Medium
Fruits,110,219,358,1,High
Dairy,65,108,556,1,Medium
Cooked Meal,193,216,690,4,Medium
Fruits,70,332,611,4,Medium
Bakery,161,64,47,5,High
Bakery,177,217,81,4,High
Snacks,95,36,372,5,Low
Cooked Meal,42,40,80,1,High
Packaged Food,235,439,457,2,Medium
Fruits,187,260,277,4,Medium
Snacks,49,290,475,2,Medium
Bakery,49,118,99,4,Medium
Packaged Food,143,368,201,4,Medium
Bakery,29,22,271,5,Low
Packaged Food,151,192,518,5,Medium
Packaged Food,222,148,631,4,Medium
Packaged Food,107,363,551,5,Medium
Vegetables,239,154,700,5,Medium
Dairy,238,119,600,4,Medium
Snacks,215,285,32,5,High
Cooked Meal,247,457,361,5,Medium
Packaged Food,243,59,433,5,Low
Dairy,146,371,188,4,High
Packaged Food,51,342,442,5,Medium
Cooked Meal,30,460,242,4,Medium
Dairy,42,357,317,4,Medium
Packaged Food,23,217,133,5,Medium
Fruits,238,302,311,4,Medium
Packaged Food,24,305,401,5,Low
Fruits,216,32,116,2,Medium
Snacks,182,260,529,5,Medium
Snacks,78,69,545,2,Medium
Bakery,134,444,168,1,High
Vegetables,82,237,680,5,Medium
Snacks,119,209,421,2,Medium
Vegetables,87,57,52,5,Medium
Dairy,235,330,516,5,Medium
Packaged Food,145,299,599,4,Medium
Fruits,145,137,221,4,Medium
Bakery,106,429,122,4,Medium
Dairy,30,6,425,5,Low
Packaged Food,135,359,477,5,Medium
Packaged Food,34,351,458,1,Medium
Snacks,149,367,524,5,Medium
Cooked Meal,97,398,428,4,Medium
Fruits,93,162,606,4,Medium
Snacks,81,359,705,5,Medium
Cooked Meal,70,136,108,5,Medium
Snacks,38,159,632,1,Medium
Packaged Food,103,118,633,2,Medium
